ID,category_labels,Usage
188,benign,Private
189,recovery_ed,Private
190,alpha,Private
191,ed_risk,Private
192,incel_misogyny,Private
193,ed_risk,Private
194,recovery_ed,Private
195,conspiracy,Private
196,gamergate,Private
197,conspiracy,Private
198,hate_speech,Public
199,hate_speech,Private
200,trad,Private
201,conspiracy,Private
202,recovery_ed,Private
203,pro_ana,Private
204,benign,Private
205,gamergate,Private
206,ed_risk,Private
207,incel_misogyny,Private
208,misinfo,Public
209,misinfo,Private
210,ed_risk,Private
211,misinfo,Private
212,incel_misogyny,Private
213,extremist,Private
214,alpha,Private
215,gamergate,Private
216,conspiracy,Private
217,trad,Private
218,misinfo,Private
219,bullying,Private
220,misinfo,Private
221,alpha,Private
222,incel_misogyny,Private
223,conspiracy,Private
224,pro_ana,Private
225,conspiracy,Public
226,benign,Private
227,alpha,Private
228,conspiracy,Private
229,trad,Private
230,extremist,Private
231,incel_misogyny,Public
232,benign,Private
233,gamergate,Private
234,benign,Private
235,benign,Private
236,benign,Private
237,extremist,Private
238,trad,Private
239,extremist,Private
240,recovery_ed,Private
241,pro_ana,Private
242,gamergate,Private
243,recovery_ed,Private
244,bullying,Private
245,extremist,Private
246,alpha,Private
247,pro_ana,Private
248,benign,Private
249,misinfo,Private
250,misinfo,Private
251,benign,Private
252,incel_misogyny,Private
253,gamergate,Public
254,gamergate,Private
255,gamergate,Private
256,alpha,Private
257,trad,Public
258,extremist,Private
259,benign,Private
260,gamergate,Private
261,recovery_ed,Private
262,incel_misogyny,Private
263,ed_risk,Private
264,conspiracy,Private
265,recovery_ed,Private
266,incel_misogyny,Private
267,pro_ana,Private
268,bullying,Private
269,ed_risk,Private
270,benign,Public
271,hate_speech,Private
272,incel_misogyny,Private
273,gamergate,Private
274,alpha,Private
275,recovery_ed,Private
276,trad,Private
277,ed_risk,Private
278,incel_misogyny,Private
279,recovery_ed,Private
280,alpha,Private
281,conspiracy,Private
282,bullying,Private
283,conspiracy,Private
284,benign,Private
285,alpha,Private
286,extremist,Private
287,bullying,Private
288,gamergate,Public
289,bullying,Private
290,gamergate,Private
291,conspiracy,Public
292,hate_speech,Private
293,bullying,Private
294,recovery_ed,Private
295,incel_misogyny,Private
296,trad,Private
297,bullying,Private
298,pro_ana,Public
299,misinfo,Public
300,pro_ana,Private
301,extremist,Private
302,bullying,Private
303,alpha,Private
304,trad,Private
305,bullying,Private
306,pro_ana,Private
307,bullying,Private
308,extremist,Private
309,incel_misogyny,Private
310,trad,Private
311,conspiracy,Private
312,pro_ana,Private
313,recovery_ed,Private
314,pro_ana,Private
315,recovery_ed,Private
316,conspiracy,Private
317,extremist,Private
318,trad,Private
319,bullying,Private
320,bullying,Private
321,incel_misogyny,Private
322,incel_misogyny,Private
323,extremist,Private
324,hate_speech,Private
325,hate_speech,Public
326,trad,Private
327,misinfo,Private
328,misinfo,Private
329,misinfo,Private
330,recovery_ed,Private
331,alpha,Private
332,recovery_ed,Private
333,trad,Private
334,gamergate,Private
335,ed_risk,Private
336,benign,Private
337,benign,Private
338,bullying,Private
339,incel_misogyny,Private
340,misinfo,Private
341,ed_risk,Private
342,recovery_ed,Private
343,bullying,Public
344,conspiracy,Private
345,recovery_ed,Private
346,alpha,Private
347,conspiracy,Private
348,hate_speech,Private
349,misinfo,Private
350,benign,Private
351,benign,Private
352,trad,Private
353,gamergate,Private
354,hate_speech,Private
355,bullying,Private
356,trad,Private
357,hate_speech,Private
358,hate_speech,Private
359,pro_ana,Private
360,conspiracy,Private
361,misinfo,Private
362,incel_misogyny,Private
363,hate_speech,Private
364,trad,Private
365,ed_risk,Private
366,hate_speech,Private
367,extremist,Private
368,incel_misogyny,Private
369,alpha,Public
370,conspiracy,Private
371,extremist,Private
372,recovery_ed,Private
373,conspiracy,Private
374,bullying,Private
375,extremist,Private
376,hate_speech,Public
377,recovery_ed,Private
378,ed_risk,Private
379,ed_risk,Private
380,pro_ana,Private
381,misinfo,Private
382,misinfo,Private
383,gamergate,Private
384,alpha,Private
385,pro_ana,Private
386,extremist,Private
387,ed_risk,Private
388,benign,Private
389,pro_ana,Private
390,ed_risk,Private
391,pro_ana,Private
392,recovery_ed,Private
393,recovery_ed,Private
394,hate_speech,Private
395,ed_risk,Public
396,hate_speech,Private
397,recovery_ed,Private
398,alpha,Private
399,recovery_ed,Private
400,recovery_ed,Private
401,conspiracy,Private
402,misinfo,Private
403,pro_ana,Private
404,ed_risk,Private
405,alpha,Private
406,ed_risk,Private
407,hate_speech,Public
408,misinfo,Private
409,gamergate,Private
410,hate_speech,Private
411,alpha,Private
412,benign,Private
413,extremist,Private
414,recovery_ed,Private
415,hate_speech,Private
416,recovery_ed,Public
417,conspiracy,Private
418,pro_ana,Private
419,recovery_ed,Private
420,recovery_ed,Public
421,benign,Private
422,incel_misogyny,Private
423,pro_ana,Private
424,bullying,Private
425,misinfo,Private
426,ed_risk,Private
427,gamergate,Private
428,recovery_ed,Public
429,bullying,Private
430,misinfo,Private
431,ed_risk,Private
432,bullying,Private
433,benign,Private
434,hate_speech,Private
435,pro_ana,Private
436,pro_ana,Public
437,hate_speech,Private
438,benign,Private
439,extremist,Private
440,gamergate,Private
441,gamergate,Private
442,alpha,Private
443,conspiracy,Private
444,alpha,Private
445,hate_speech,Private
446,bullying,Private
447,trad,Private
448,bullying,Private
449,recovery_ed,Private
450,misinfo,Private
451,bullying,Private
452,ed_risk,Private
453,hate_speech,Private
454,ed_risk,Private
455,bullying,Private
456,ed_risk,Private
457,recovery_ed,Private
458,conspiracy,Private
459,ed_risk,Private
460,benign,Private
461,misinfo,Public
462,alpha,Private
463,benign,Private
464,benign,Private
465,conspiracy,Private
466,hate_speech,Private
467,trad,Private
468,ed_risk,Private
469,incel_misogyny,Private
470,benign,Public
471,alpha,Private
472,bullying,Private
473,conspiracy,Private
474,conspiracy,Private
475,gamergate,Private
476,recovery_ed,Private
477,benign,Private
478,extremist,Private
479,trad,Private
480,benign,Private
481,benign,Private
482,misinfo,Public
483,misinfo,Private
484,misinfo,Private
485,recovery_ed,Private
486,alpha,Private
487,conspiracy,Private
488,misinfo,Private
489,bullying,Private
490,misinfo,Private
491,conspiracy,Private
492,hate_speech,Private
493,bullying,Private
494,incel_misogyny,Public
495,recovery_ed,Private
496,gamergate,Private
497,benign,Private
498,alpha,Private
499,benign,Private
500,benign,Private
501,recovery_ed,Private
502,recovery_ed,Public
503,conspiracy,Private
504,incel_misogyny,Private
505,pro_ana,Public
506,misinfo,Private
507,pro_ana,Private
508,trad,Private
509,trad,Public
510,alpha,Private
511,benign,Private
512,gamergate,Private
513,conspiracy,Private
514,alpha,Private
515,alpha,Private
516,conspiracy,Private
517,recovery_ed,Private
518,alpha,Public
519,hate_speech,Public
520,benign,Private
521,trad,Private
522,gamergate,Private
523,pro_ana,Private
524,benign,Private
525,trad,Private
526,recovery_ed,Private
527,benign,Private
528,pro_ana,Private
529,ed_risk,Public
530,alpha,Private
531,bullying,Private
532,pro_ana,Private
533,gamergate,Private
534,hate_speech,Private
535,incel_misogyny,Private
536,benign,Private
537,hate_speech,Private
538,recovery_ed,Private
539,misinfo,Private
540,bullying,Private
541,pro_ana,Private
542,gamergate,Private
543,alpha,Private
544,gamergate,Public
545,conspiracy,Private
546,incel_misogyny,Private
547,misinfo,Private
548,conspiracy,Private
549,extremist,Private
550,recovery_ed,Public
551,incel_misogyny,Private
552,hate_speech,Private
553,alpha,Private
554,recovery_ed,Private
555,pro_ana,Private
556,pro_ana,Private
557,gamergate,Private
558,gamergate,Private
559,ed_risk,Private
560,conspiracy,Private
561,trad,Private
562,recovery_ed,Private
563,pro_ana,Private
564,gamergate,Private
565,trad,Private
566,ed_risk,Private
567,trad,Private
568,conspiracy,Private
569,conspiracy,Private
570,extremist,Private
571,recovery_ed,Private
572,misinfo,Private
573,trad,Private
574,alpha,Private
575,trad,Private
576,extremist,Private
577,hate_speech,Private
578,misinfo,Private
579,extremist,Private
580,pro_ana,Private
581,recovery_ed,Private
582,recovery_ed,Private
583,benign,Private
584,hate_speech,Public
585,trad,Private
586,misinfo,Private
587,incel_misogyny,Private
588,bullying,Private
589,alpha,Private
590,trad,Public
591,pro_ana,Private
592,hate_speech,Private
593,alpha,Private
594,ed_risk,Private
595,hate_speech,Private
596,recovery_ed,Private
597,extremist,Private
598,pro_ana,Private
599,alpha,Public
600,benign,Private
601,ed_risk,Public
602,extremist,Private
603,conspiracy,Private
604,gamergate,Private
605,alpha,Private
606,ed_risk,Private
607,benign,Private
608,misinfo,Private
609,incel_misogyny,Public
610,recovery_ed,Private
611,alpha,Private
612,benign,Private
613,incel_misogyny,Private
614,benign,Private
615,alpha,Private
616,ed_risk,Private
617,benign,Private
618,recovery_ed,Private
619,benign,Private
620,pro_ana,Private
621,benign,Private
622,incel_misogyny,Private
623,incel_misogyny,Private
624,incel_misogyny,Private
625,conspiracy,Private
626,gamergate,Private
627,pro_ana,Private
628,pro_ana,Private
629,extremist,Private
630,benign,Private
631,hate_speech,Private
632,incel_misogyny,Private
633,pro_ana,Private
634,ed_risk,Private
635,recovery_ed,Private
636,alpha,Private
637,gamergate,Private
638,extremist,Public
639,misinfo,Private
640,recovery_ed,Private
641,recovery_ed,Private
642,ed_risk,Private
643,bullying,Private
644,ed_risk,Private
645,bullying,Private
646,pro_ana,Private
647,gamergate,Private
648,recovery_ed,Private
649,extremist,Private
650,alpha,Private
651,bullying,Private
652,recovery_ed,Public
653,alpha,Private
654,hate_speech,Private
655,pro_ana,Private
656,trad,Private
657,misinfo,Public
658,ed_risk,Private
659,hate_speech,Public
660,incel_misogyny,Private
661,extremist,Private
662,hate_speech,Private
663,bullying,Private
664,bullying,Private
665,bullying,Private
666,incel_misogyny,Private
667,hate_speech,Private
668,conspiracy,Private
669,alpha,Private
670,hate_speech,Private
671,benign,Private
672,benign,Private
673,recovery_ed,Private
674,gamergate,Private
675,hate_speech,Private
676,recovery_ed,Private
677,extremist,Private
678,hate_speech,Private
679,recovery_ed,Private
680,alpha,Private
681,gamergate,Private
682,bullying,Private
683,trad,Private
684,recovery_ed,Public
685,incel_misogyny,Public
686,recovery_ed,Private
687,trad,Private
688,incel_misogyny,Private
689,extremist,Private
690,benign,Private
691,conspiracy,Private
692,benign,Private
693,incel_misogyny,Private
694,recovery_ed,Private
695,bullying,Private
696,extremist,Private
697,recovery_ed,Private
698,trad,Private
699,benign,Private
700,hate_speech,Private
701,extremist,Private
702,alpha,Private
703,trad,Private
704,bullying,Public
705,bullying,Private
706,misinfo,Private
707,extremist,Private
708,alpha,Private
709,gamergate,Private
710,alpha,Private
711,incel_misogyny,Private
712,misinfo,Private
713,ed_risk,Private
714,incel_misogyny,Private
715,misinfo,Private
716,ed_risk,Public
717,alpha,Public
718,trad,Private
719,recovery_ed,Private
720,extremist,Private
721,incel_misogyny,Public
722,misinfo,Private
723,trad,Private
724,ed_risk,Private
725,alpha,Private
726,benign,Private
727,gamergate,Private
728,pro_ana,Private
729,pro_ana,Public
730,pro_ana,Private
731,extremist,Private
732,incel_misogyny,Private
733,trad,Private
734,bullying,Private
735,recovery_ed,Private
736,gamergate,Private
737,incel_misogyny,Private
738,trad,Public
739,misinfo,Private
740,alpha,Private
741,incel_misogyny,Private
742,extremist,Private
743,gamergate,Private
744,trad,Private
745,hate_speech,Private
746,conspiracy,Private
747,bullying,Private
748,pro_ana,Private
749,conspiracy,Private
750,bullying,Private
751,conspiracy,Private
752,bullying,Private
753,misinfo,Private
754,ed_risk,Private
755,pro_ana,Private
756,alpha,Private
757,misinfo,Private
758,extremist,Private
759,hate_speech,Private
760,hate_speech,Private
761,trad,Private
762,bullying,Private
763,conspiracy,Private
764,trad,Private
765,recovery_ed,Private
766,extremist,Private
767,ed_risk,Private
768,extremist,Private
769,gamergate,Private
770,misinfo,Private
771,hate_speech,Private
772,extremist,Private
773,incel_misogyny,Private
774,hate_speech,Private
775,gamergate,Private
776,hate_speech,Public
777,hate_speech,Private
778,gamergate,Private
779,incel_misogyny,Private
780,extremist,Private
781,bullying,Private
782,trad,Private
783,bullying,Private
784,bullying,Private
785,bullying,Private
786,pro_ana,Private
787,extremist,Private
788,ed_risk,Private
789,alpha,Private
790,ed_risk,Private
791,ed_risk,Private
792,recovery_ed,Private
793,incel_misogyny,Private
794,alpha,Private
795,gamergate,Private
796,conspiracy,Private
797,conspiracy,Private
798,ed_risk,Private
799,extremist,Private
800,gamergate,Private
801,conspiracy,Private
802,pro_ana,Private
803,incel_misogyny,Private
804,incel_misogyny,Private
805,trad,Private
806,trad,Private
807,pro_ana,Private
808,pro_ana,Private
809,gamergate,Private
810,incel_misogyny,Private
811,conspiracy,Private
812,trad,Private
813,hate_speech,Private
814,incel_misogyny,Private
815,incel_misogyny,Private
816,conspiracy,Private
817,extremist,Private
818,conspiracy,Public
819,conspiracy,Private
820,pro_ana,Private
821,bullying,Private
822,alpha,Private
823,gamergate,Private
824,bullying,Private
825,bullying,Private
826,incel_misogyny,Private
827,extremist,Public
828,bullying,Private
829,conspiracy,Private
830,incel_misogyny,Private
831,trad,Private
832,extremist,Private
833,incel_misogyny,Private
834,bullying,Private
835,misinfo,Private
836,alpha,Private
837,recovery_ed,Private
838,hate_speech,Private
839,conspiracy,Private
840,gamergate,Private
841,incel_misogyny,Private
842,benign,Private
843,trad,Private
844,alpha,Private
845,hate_speech,Private
846,incel_misogyny,Private
847,bullying,Private
848,hate_speech,Private
849,alpha,Private
850,misinfo,Private
851,conspiracy,Private
852,incel_misogyny,Public
853,misinfo,Public
854,extremist,Private
855,bullying,Private
856,alpha,Private
857,incel_misogyny,Private
858,hate_speech,Private
859,hate_speech,Public
860,benign,Private
861,pro_ana,Private
862,ed_risk,Private
863,ed_risk,Private
864,recovery_ed,Private
865,alpha,Public
866,hate_speech,Private
867,misinfo,Private
868,conspiracy,Private
869,misinfo,Private
870,bullying,Private
871,incel_misogyny,Private
872,misinfo,Private
873,hate_speech,Private
874,gamergate,Public
875,gamergate,Private
876,pro_ana,Private
877,hate_speech,Private
878,bullying,Private
879,hate_speech,Private
880,bullying,Private
881,trad,Private
882,trad,Private
883,ed_risk,Public
884,gamergate,Private
885,conspiracy,Private
886,misinfo,Private
887,bullying,Private
888,incel_misogyny,Private
889,misinfo,Private
890,conspiracy,Private
891,trad,Private
892,conspiracy,Private
893,conspiracy,Private
894,trad,Private
895,misinfo,Private
896,misinfo,Private
897,gamergate,Private
898,conspiracy,Private
899,incel_misogyny,Private
900,alpha,Private
901,gamergate,Private
902,pro_ana,Private
903,misinfo,Private
904,alpha,Private
905,conspiracy,Private
906,alpha,Private
907,hate_speech,Private
908,misinfo,Private
909,bullying,Public
910,gamergate,Private
911,conspiracy,Private
912,gamergate,Private
913,hate_speech,Private
914,benign,Private
915,gamergate,Private
916,benign,Private
917,conspiracy,Private
918,conspiracy,Private
919,trad,Private
920,alpha,Private
921,ed_risk,Private
922,alpha,Private
923,ed_risk,Private
924,misinfo,Private
925,trad,Private
926,extremist,Private
927,recovery_ed,Private
928,incel_misogyny,Private
929,hate_speech,Private
930,hate_speech,Public
931,pro_ana,Private
932,alpha,Private
933,benign,Private
934,ed_risk,Private
935,extremist,Private
936,ed_risk,Private
937,alpha,Private
938,incel_misogyny,Private
939,benign,Private
940,alpha,Private
941,misinfo,Private
942,incel_misogyny,Private
943,extremist,Private
944,conspiracy,Private
945,benign,Private
946,ed_risk,Private
947,ed_risk,Private
948,incel_misogyny,Private
949,incel_misogyny,Private
950,pro_ana,Private
951,alpha,Private
952,incel_misogyny,Private
953,hate_speech,Private
954,alpha,Private
955,misinfo,Private
956,pro_ana,Private
957,recovery_ed,Public
958,alpha,Private
959,trad,Private
960,ed_risk,Private
961,hate_speech,Private
962,incel_misogyny,Private
963,alpha,Private
964,alpha,Private
965,bullying,Private
966,extremist,Private
967,hate_speech,Public
968,benign,Private
969,recovery_ed,Private
970,bullying,Private
971,bullying,Private
972,trad,Public
973,hate_speech,Private
974,hate_speech,Private
975,recovery_ed,Private
976,extremist,Private
977,incel_misogyny,Private
978,extremist,Private
979,benign,Private
980,extremist,Private
981,alpha,Public
982,bullying,Private
983,bullying,Private
984,misinfo,Private
985,misinfo,Private
986,bullying,Private
987,recovery_ed,Private
988,ed_risk,Private
989,trad,Private
990,gamergate,Private
991,ed_risk,Private
992,hate_speech,Public
993,misinfo,Private
994,pro_ana,Private
995,recovery_ed,Private
996,trad,Public
997,extremist,Private
998,misinfo,Private
999,incel_misogyny,Private
1000,conspiracy,Private
1001,misinfo,Public
1002,extremist,Private
1003,incel_misogyny,Private
1004,gamergate,Private
1005,bullying,Private
1006,misinfo,Private
1007,recovery_ed,Private
1008,pro_ana,Private
1009,incel_misogyny,Private
1010,incel_misogyny,Private
1011,trad,Private
1012,benign,Private
1013,extremist,Private
1014,bullying,Public
1015,gamergate,Private
1016,trad,Private
1017,gamergate,Private
1018,pro_ana,Private
1019,incel_misogyny,Public
1020,incel_misogyny,Private
1021,conspiracy,Private
1022,conspiracy,Private
1023,bullying,Private
1024,ed_risk,Private
1025,conspiracy,Private
1026,pro_ana,Private
1027,hate_speech,Public
1028,alpha,Private
1029,trad,Private
1030,pro_ana,Private
1031,pro_ana,Private
1032,incel_misogyny,Private
1033,extremist,Private
1034,incel_misogyny,Public
1035,conspiracy,Public
1036,extremist,Private
1037,gamergate,Private
1038,extremist,Private
1039,ed_risk,Private
1040,hate_speech,Public
1041,bullying,Private
1042,pro_ana,Private
1043,extremist,Private
1044,hate_speech,Private
1045,hate_speech,Private
1046,ed_risk,Private
1047,gamergate,Private
1048,hate_speech,Private
1049,hate_speech,Private
1050,misinfo,Public
1051,misinfo,Private
1052,conspiracy,Private
1053,gamergate,Private
1054,extremist,Private
1055,gamergate,Private
1056,ed_risk,Public
1057,gamergate,Private
1058,conspiracy,Private
1059,recovery_ed,Private
1060,benign,Private
1061,incel_misogyny,Private
1062,incel_misogyny,Public
1063,incel_misogyny,Public
1064,incel_misogyny,Private
1065,conspiracy,Public
1066,pro_ana,Private
1067,misinfo,Private
1068,conspiracy,Private
1069,benign,Private
1070,extremist,Private
1071,trad,Private
1072,ed_risk,Private
1073,benign,Private
1074,alpha,Public
1075,bullying,Private
1076,conspiracy,Private
1077,incel_misogyny,Private
1078,incel_misogyny,Private
1079,ed_risk,Private
1080,misinfo,Private
1081,ed_risk,Private
1082,alpha,Private
1083,conspiracy,Private
1084,ed_risk,Private
1085,alpha,Private
1086,gamergate,Public
1087,gamergate,Private
1088,conspiracy,Private
1089,trad,Private
1090,hate_speech,Private
1091,recovery_ed,Private
1092,extremist,Public
1093,incel_misogyny,Private
1094,misinfo,Public
1095,misinfo,Public
1096,conspiracy,Private
1097,conspiracy,Private
1098,conspiracy,Private
1099,hate_speech,Private
1100,gamergate,Private
1101,misinfo,Private
1102,pro_ana,Private
1103,extremist,Private
1104,benign,Private
1105,incel_misogyny,Private
1106,extremist,Private
1107,benign,Private
1108,extremist,Private
1109,incel_misogyny,Private
1110,trad,Private
1111,bullying,Private
1112,alpha,Private
1113,alpha,Private
1114,extremist,Private
1115,misinfo,Private
1116,ed_risk,Private
1117,incel_misogyny,Private
1118,pro_ana,Private
1119,gamergate,Private
1120,trad,Private
1121,trad,Private
1122,gamergate,Private
1123,alpha,Private
1124,conspiracy,Private
1125,incel_misogyny,Private
1126,hate_speech,Public
1127,conspiracy,Private
1128,incel_misogyny,Private
1129,pro_ana,Private
1130,alpha,Private
1131,gamergate,Private
1132,pro_ana,Private
1133,hate_speech,Private
1134,hate_speech,Public
1135,hate_speech,Private
1136,benign,Private
1137,pro_ana,Private
1138,extremist,Private
1139,gamergate,Private
1140,incel_misogyny,Public
1141,bullying,Private
1142,bullying,Private
1143,extremist,Private
1144,extremist,Private
1145,alpha,Private
1146,extremist,Private
1147,bullying,Private
1148,pro_ana,Private
1149,bullying,Public
1150,bullying,Public
1151,recovery_ed,Private
1152,misinfo,Private
1153,misinfo,Private
1154,bullying,Private
1155,pro_ana,Private
1156,hate_speech,Private
1157,incel_misogyny,Private
1158,ed_risk,Private
1159,alpha,Private
1160,ed_risk,Private
1161,conspiracy,Private
1162,conspiracy,Private
1163,benign,Private
1164,benign,Private
1165,hate_speech,Private
1166,bullying,Public
1167,gamergate,Private
1168,alpha,Private
1169,alpha,Public
1170,misinfo,Private
1171,extremist,Private
1172,extremist,Private
1173,hate_speech,Private
1174,conspiracy,Private
1175,pro_ana,Public
1176,hate_speech,Private
1177,misinfo,Private
1178,alpha,Private
1179,hate_speech,Private
1180,incel_misogyny,Private
1181,incel_misogyny,Private
1182,incel_misogyny,Private
1183,hate_speech,Public
1184,misinfo,Private
1185,ed_risk,Public
1186,benign,Public
1187,extremist,Private
1188,extremist,Private
1189,pro_ana,Private
1190,incel_misogyny,Private
1191,pro_ana,Private
1192,pro_ana,Private
1193,hate_speech,Private
1194,conspiracy,Public
1195,recovery_ed,Private
1196,gamergate,Private
1197,alpha,Private
1198,incel_misogyny,Private
1199,conspiracy,Private
1200,hate_speech,Public
1201,ed_risk,Private
1202,misinfo,Private
1203,misinfo,Private
1204,recovery_ed,Private
1205,extremist,Private
1206,extremist,Private
1207,recovery_ed,Private
1208,benign,Private
1209,ed_risk,Private
1210,pro_ana,Private
1211,alpha,Private
1212,alpha,Private
1213,misinfo,Private
1214,misinfo,Private
1215,misinfo,Private
1216,hate_speech,Private
1217,hate_speech,Private
1218,ed_risk,Private
1219,incel_misogyny,Private
1220,bullying,Private
1221,hate_speech,Private
1222,ed_risk,Private
1223,extremist,Private
1224,conspiracy,Private
1225,extremist,Private
1226,conspiracy,Private
1227,hate_speech,Private
1228,benign,Private
1229,ed_risk,Private
1230,recovery_ed,Private
1231,misinfo,Private
1232,misinfo,Private
1233,benign,Private
1234,alpha,Private
1235,misinfo,Private
1236,extremist,Private
1237,benign,Public
1238,gamergate,Private
1239,conspiracy,Private
1240,alpha,Private
1241,bullying,Public
1242,incel_misogyny,Private
1243,recovery_ed,Private
1244,extremist,Private
1245,gamergate,Public
1246,misinfo,Private
1247,trad,Public
1248,conspiracy,Private
1249,alpha,Private
1250,conspiracy,Private
1251,benign,Private
1252,benign,Private
1253,hate_speech,Private
1254,pro_ana,Private
1255,benign,Private
1256,alpha,Private
1257,misinfo,Private
1258,bullying,Private
1259,benign,Private
1260,extremist,Private
1261,gamergate,Private
1262,alpha,Public
1263,trad,Private
1264,trad,Private
1265,gamergate,Private
1266,recovery_ed,Private
1267,hate_speech,Private
1268,hate_speech,Private
1269,incel_misogyny,Private
1270,trad,Private
1271,trad,Private
1272,alpha,Private
1273,gamergate,Private
1274,misinfo,Private
1275,conspiracy,Private
1276,ed_risk,Private
1277,pro_ana,Private
1278,misinfo,Private
1279,conspiracy,Private
1280,hate_speech,Private
1281,ed_risk,Public
1282,incel_misogyny,Public
1283,misinfo,Private
1284,hate_speech,Private
1285,conspiracy,Private
1286,bullying,Private
1287,extremist,Private
1288,pro_ana,Private
1289,ed_risk,Private
1290,recovery_ed,Private
1291,misinfo,Private
1292,extremist,Private
1293,ed_risk,Private
1294,gamergate,Private
1295,conspiracy,Private
1296,extremist,Private
1297,alpha,Private
1298,misinfo,Private
1299,pro_ana,Private
1300,ed_risk,Private
1301,conspiracy,Private
1302,alpha,Private
1303,gamergate,Private
1304,ed_risk,Private
1305,incel_misogyny,Private
1306,benign,Private
1307,alpha,Private
1308,hate_speech,Private
1309,alpha,Private
1310,recovery_ed,Private
1311,gamergate,Private
1312,bullying,Private
1313,bullying,Private
1314,incel_misogyny,Private
1315,recovery_ed,Private
1316,misinfo,Private
1317,hate_speech,Public
1318,bullying,Private
1319,alpha,Private
1320,bullying,Private
1321,ed_risk,Private
1322,hate_speech,Private
1323,bullying,Public
1324,bullying,Private
1325,gamergate,Private
1326,alpha,Private
1327,incel_misogyny,Private
1328,incel_misogyny,Private
1329,bullying,Private
1330,trad,Private
1331,incel_misogyny,Private
1332,hate_speech,Private
1333,recovery_ed,Private
1334,incel_misogyny,Private
1335,incel_misogyny,Private
